X,Y,Z
-2570141.023,-4376777.001,3849595.2467
-2570141.0218,-4376777.0024,3849595.2483
-2570141.021,-4376777.0013,3849595.2473
-2570141.019,-4376776.9985,3849595.2494
-2570141.0191,-4376776.9999,3849595.2504
-2570141.0202,-4376777.0018,3849595.2516
-2570141.0178,-4376776.9988,3849595.2438000003
-2570141.0176,-4376777.0,3849595.242
-2570141.0225,-4376777.001,3849595.2485
-2570141.0209,-4376777.001,3849595.2481
-2570141.0223,-4376777.0002,3849595.2502
-2570141.0198,-4376777.0015,3849595.2499
-2570141.0181,-4376776.9975,3849595.2465
-2570141.0197,-4376777.0029,3849595.2391000004
-2570141.0094000003,-4376777.0911,3849595.1611
-2570140.9855000004,-4376777.3032,3849594.9429
-2570141.059,-4376777.533100001,3849594.6461
-2570141.1827000002,-4376777.7406,3849594.3038000003
-2570141.2927,-4376777.8449,3849594.0743000004
-2570141.4302000003,-4376777.9629999995,3849593.8478
-2570141.5664999997,-4376778.0776,3849593.5936999996
-2570141.6689999998,-4376778.1702,3849593.4385
-2570141.7748000002,-4376778.2393000005,3849593.3014
-2570141.9376,-4376778.3611,3849593.0475000003
-2570142.0839,-4376778.497,3849592.774
-2570142.2493,-4376778.6074,3849592.5141000003
-2570142.3559,-4376778.7079,3849592.3340000003
-2570142.4282,-4376778.8472,3849592.1578
-2570142.4802,-4376778.9571,3849591.979
-2570142.562,-4376779.101799999,3849591.7552
-2570142.6703,-4376779.3014,3849591.4746000003
-2570142.732,-4376779.4554,3849591.2791000004
-2570142.7567000003,-4376779.523600001,3849591.1415
-2570142.8321,-4376779.6561,3849590.9613
-2570142.9151,-4376779.8827,3849590.6675
-2570142.9934,-4376780.0499,3849590.4353
-2570142.9967,-4376780.1783,3849590.2451
-2570143.0405,-4376780.3012,3849590.0908999997
-2570143.1108999997,-4376780.4682,3849589.8534
-2570143.1246,-4376780.5509,3849589.7428
-2570143.1184,-4376780.5752,3849589.7029000004
-2570143.1426,-4376780.5797,3849589.6849
-2570143.2731,-4376780.5012,3849589.7081
-2570143.2523,-4376780.5101,3849589.7070999998
-2570143.2267,-4376780.555900001,3849589.6812
-2570143.177,-4376780.603499999,3849589.6744999997
-2570143.0116000003,-4376780.7151,3849589.6604
-2570142.8636,-4376780.7858,3849589.6673
-2570142.8192,-4376780.8394,3849589.6122999997
-2570142.7325999998,-4376780.8454,3849589.6581
-2570142.6755000004,-4376780.824,3849589.7233
-2570142.5084,-4376780.8015,3849589.8836
-2570142.308,-4376780.7592,3849590.0727000004
-2570142.2095,-4376780.717999999,3849590.1496
-2570142.1578,-4376780.6329,3849590.2727
-2570142.0911999997,-4376780.5089,3849590.4678
-2570142.0328,-4376780.313800001,3849590.7242
-2570141.9746000003,-4376780.1351,3849591.0049
-2570141.9181,-4376779.9358,3849591.2453
-2570141.8686,-4376779.7289,3849591.5191
-2570141.8117,-4376779.5271000005,3849591.7827000003
-2570141.7794000003,-4376779.3331,3849592.0427
-2570141.7205000003,-4376779.1639,3849592.2893
-2570141.6709,-4376778.9539,3849592.5743000004
-2570141.6111999997,-4376778.7454,3849592.8421
-2570141.5156,-4376778.548599999,3849593.0951
-2570141.4406,-4376778.3638,3849593.3496000003
-2570141.3630999997,-4376778.1683,3849593.6295
-2570141.2666,-4376777.9901,3849593.9269000003
-2570141.1983000003,-4376777.8263,3849594.1563000004
-2570141.1171,-4376777.649,3849594.4507000004
-2570141.0265,-4376777.4438000005,3849594.7367000002
-2570140.9651,-4376777.2718,3849595.0123
-2570140.8564999998,-4376777.1077000005,3849595.265
-2570140.7922,-4376776.945900001,3849595.5252
